,as_of_year,state_code,applicant_income,loan_amount,conventional_loans,FHA_loans,VA_loans,FSA_RHS_loans,purchase,improvement,refinancing,multifamily,loans_originated,loans_approved_not_originated,loans_denied,other_loans,race_black,race_other,race_white,race_msrpd,subprime,subprime_originated,subprime_amount,subprime_amount_originated,total,did
0,1990,01,60.586320574396666,51.945681315861115,0.6660330211095952,0.26360166178657385,0.07021201575937822,4.5990403335837255e-05,0.6945624013122595,0.17948521408532753,0.09487820208183226,0.0027594242001502353,0.6189235179592525,0.035903174870843615,0.16397111802670508,0.1812021891431988,0.10746424246140639,0.015115512563045178,0.8774202449755484,0.0,9.198080667167451e-05,4.5990403335837255e-05,143.66666666666666,90.0,65231,0
1,1990,13,83.59895333265816,82.6221694445995,0.6017340336881922,0.31524395382152187,0.08238532625488049,0.00010299336160969261,0.7040813460296059,0.12506203009278766,0.14453713846989316,0.0041010083986404875,0.5697218242933251,0.01273372470810745,0.11491250245779613,0.3026319485407713,0.11781504264861474,0.029446738387498478,0.8527382189638868,0.0,0.0020692302650674606,0.000514966808048463,89.47963800904978,99.4,106803,0
2,1990,27,97.14084497574834,70.43555975958492,0.5359477788736261,0.3315777165458409,0.044900407723358175,0.00041687425648951205,0.6088397677705362,0.2258238350398064,0.12177812121889965,0.004229748553649684,0.6166383666663278,0.015810718752224177,0.08462547406737095,0.28292544051407714,0.011702982176083619,0.026039389533405864,0.9622576282905105,0.0,0.0001728503014712611,3.050299437728137e-05,83.23529411764706,45.0,98351,0
3,1990,37,82.25149914815543,64.78878183353291,0.7072654810215069,0.23251718096068125,0.05999037684632913,0.00014525514974898093,0.6336574338862108,0.11309021252644097,0.13184628373777815,0.004448438961062541,0.6847327759166961,0.02114370273533604,0.11858267287632432,0.17554084847164347,0.09935452242830296,0.028197655945020925,0.8724478216266761,0.0,0.0006808835144483481,9.98629154524244e-05,78.0,136.63636363636363,110151,0
4,1990,45,60.87152118653956,62.32977526562104,0.671941119027813,0.2452168252016348,0.08271546891388477,1.8083836666787226e-05,0.6645267459944302,0.1391370393142609,0.0958262504973055,0.002640240153350935,0.6163333212774422,0.01859018409345727,0.13089080979420595,0.23418568483489458,0.09436145972729575,0.02320156244348801,0.8824369778292163,0.0,0.00047017975333646785,0.00018083836666787226,140.07692307692307,174.2,55298,0
5,1990,51,78.6402128107325,101.04093395908805,0.6597089067969513,0.21741919195365436,0.12239425183042081,2.7294252512777123e-05,0.6572046591289039,0.17256791151203335,0.14361553315910502,0.004947083267940853,0.5863692502951191,0.007976745296859114,0.09025526949662575,0.31539873491139603,0.06972999160701736,0.0533261458468383,0.8769438625461443,0.0,0.008283805637627857,0.0025724832993292437,56.39621087314662,24.122015915119363,146551,0
0,1991,01,49.614882535660975,55.736111308500206,0.6873356735784432,0.20851868169350368,0.10411722069837841,2.842402967468698e-05,0.6052186518482725,0.18474198087062804,0.20800704915935933,0.0020181061069027757,0.6295069852052926,0.021858078819834287,0.1492119437772693,0.19942299219760384,0.10150220996830721,0.015562156246891121,0.8829356337848017,0.0,0.00451942071827523,0.0012364452908488837,38.40880503144654,49.81609195402299,70363,0
1,1991,13,59.13755974943009,84.80982457871752,0.6431537999720378,0.27323118929543644,0.08338473431858742,0.00023027641393830238,0.6180865674833255,0.10920036515259925,0.27126561561932017,0.0014474517447550434,0.5907083466975895,0.01870995863248707,0.11309039171662842,0.277491302953295,0.12188201623448719,0.038464385285337147,0.8396535984801756,0.0,0.008964331828312485,0.005090753579564613,79.948623853211,89.25040387722133,121593,0
2,1991,27,68.03681379964063,73.99001656714873,0.6673886031822731,0.28925206226486727,0.04325578987333034,0.00010354467952921686,0.5038138956959928,0.18577641252200325,0.3093311013702413,0.0010785904117626755,0.645514789631726,0.015799192351499673,0.0896438063024195,0.24904221171435476,0.009923031788216616,0.023608186932661444,0.966468781279122,0.0,0.001941462741172816,0.0008456148828219377,52.32888888888889,55.97959183673469,115892,0
3,1991,37,51.887273125739995,68.88810069538867,0.8004428732372479,0.13829299561011615,0.060782409385804745,0.00048172176683112546,0.6195796589099103,0.10686453517734354,0.27226603473058547,0.0012897711821607551,0.6422594304805563,0.04014607047123266,0.1617963560079251,0.1557981430402859,0.10687230488326017,0.02717843129637543,0.8659492638203644,0.0,0.001421856182743483,0.0009556738277456199,108.33879781420765,118.00813008130082,128705,0
