IDD,CODE,ID,MH,NAME
10000015033,1,0000015033,1,ADVANTA NATIONAL BANK         
10000022559,1,0000022559,1,FIRST UNION HOME EQUITY BANK  
10000022908,1,0000022908,1,KEY BANK USA                  
122-2630964,1,22-2630964,1,CHAMPION MORTGAGE CO/KEYCORP  
141-1775115,1,41-1775115,1,TCF REAL ESTATE FINANCIAL SVCS
159-2645397,1,59-2645397,1,Altegra Credit Company        
20000612618,2,0000612618,1,The Provident Bank            
20000765578,2,0000765578,1,BANC ONE FINANCIAL SERVICES   
20000856775,2,0000856775,1,HOME EQUITY USA               
20000943518,2,0000943518,1,Provident Bank of Kentucky    
20001035698,2,0001035698,1,THE CIT GROUP/CONSUMER FINANCE
20001224906,2,0001224906,1,Provident Bank of Florida     
20001999138,2,0001999138,1,THE CIT GROUP/CONSUMER FINANCE
20002036450,2,0002036450,1,EQUICREDIT CORP               
20002142959,2,0002142959,1,HOME EQUITY SERVICES CORP     
20002534303,2,0002534303,1,MID AM FINANCIAL SERVICES INC 
20002617242,2,0002617242,1,WEST GEORGIA CREDIT SERVICES  
30000025147,3,0000025147,1,COMMERCIAL CREDIT        CORPO
30000025653,3,0000025653,1,Fremont Investment & Loan     
30000025870,3,0000025870,1,FINANCE AND THRIFT COMPANY    
30000026363,3,0000026363,1,COMMUNITY THRIFT & LOAN       
30000027415,3,0000027415,1,Pacific Thrift and Loan       
325-1238830,3,25-1238830,1,"PV FINANCIAL SERVICE, INC.    "
362-1376832,3,62-1376832,1,"SOUTHERN FINANCIAL, INC.      "
362-1688241,3,62-1688241,1,FB FINANCIAL SERVICES         
364-0838616,3,64-0838616,1,HANCOCK MORTGAGE CORPORATION  
40000004592,4,0000004592,1,OCWEN FEDERAL BANK FSB        
40000006194,4,0000006194,1,"HOUSEHOLD BANK, F.S.B         "
40000007645,4,0000007645,1,"WESTERN FINANCIAL BANK, FSB   "
40000007946,4,0000007946,1,LIFE BANK                     
40000008051,4,0000008051,1,BAY FINANCIAL SAVINGS BANK FSB
40000008327,4,0000008327,1,"OCEANMARK BANK, F.S.B.        "
40000008566,4,0000008566,1,SUPERIOR BANK                 
40000011968,4,0000011968,1,PAN AMERICAN BANK FSB         
40000014470,4,0000014470,1,"TRAVELERS BANK & TRUST, FSB   "
40582257419,4,0582257419,1,NEWSOUTH FINANCIAL SERVICES IN
70132868346,7,0132868346,1,AMERICAN GENERAL HOME EQUITY  
70232433020,7,0232433020,1,"MOREQUITY, INC (DE)           "
70351925329,7,0351925329,1,"MOREQUITY, INC (CA)           "
70458600405,7,0458600405,1,WMC MORTGAGE CORPORATION      
705-0416938,7,05-0416938,1,SECURITY FUNDING CORP.        
70510312284,7,0510312284,1,"MOREQUITY, INC (NV)           "
70522009990,7,0522009990,1,NATIONAL MORTGAGE CORPORATION 
70541664826,7,0541664826,1,APPROVED RESIDENTIAL MORTGAGE 
71006200008,7,1006200008,1,AMRESCO RESIDENTIAL MORTGAGE  
71014100002,7,1014100002,1,"FULL SPECTRUM LENDING, INC.   "
71024300002,7,1024300002,1,AMERICA'S MONEYLINE INC.      
71025900004,7,1025900004,1,"LENDERS M.D., INC.            "
71037200009,7,1037200009,1,"MOFC INC., DBA CONSUMER ONE FI"
71053700004,7,1053700004,1,AMERICAN MONEY CENTERS        
71075700003,7,1075700003,1,AURORA LOAN SERVICES INC      
71078900004,7,1078900004,1,FIRST STREET MORTGAGE CORP    
71085800002,7,1085800002,1,SPECIALTY MORTGAGE CORPORATION
71090500006,7,1090500006,1,OCEANMARK FINANCIAL CORPORATIO
71097600001,7,1097600001,1,"MORTGAGE AMERICA (IMC), INC   "
71118100001,7,1118100001,1,MORTGAGE LENDERS NETWORK USA  
71120700004,7,1120700004,1,MORTGAGE ASSOCIATES INC.      
71125400003,7,1125400003,1,EQUIFIRST CORPORATION         
713-2530491,7,13-2530491,1,"AVCO FINANCIAL SERVICES, INC. "
713-3237773,7,13-3237773,1,ADVANTA MORTGAGE CORP. - NE   
71562209992,7,1562209992,1,MCGUIRE MORTGAGE COMPANY      
722-2435554,7,22-2435554,1,"PARKWAY MORTGAGE, INC.        "
723-2159309,7,23-2159309,1,ADVANTA MORTGAGE CORP. MID-ATL
723-2434974,7,23-2434974,1,ADVANTA MORTGAGE CORP.-MIDWEST
723-2532654,7,23-2532654,1,ADVANTA MORTGAGE CORP. USA    
723-2646780,7,23-2646780,1,"HOME AMERICAN CREDIT, INC.    "
723-2681022,7,23-2681022,1,RESOURCE ONE CONSUMER DISCOUNT
723-2723382,7,23-2723382,1,"ADVANTA CONDUIT SERVICES, INC."
723-2772890,7,23-2772890,1,"RESIDENTIAL MONEY CENTERS, INC"
723-2778991,7,23-2778991,1,ADVANTA FINANCE CORP.         
723-2890154,7,23-2890154,1,TRAVELERS HOME MORTGAGE  SVCS 
731-0890616,7,31-0890616,1,CITY LOAN FINANCIAL      SERVI
733-0729914,7,33-0729914,1,ROYAL MORTAGEBANC             
736-4013134,7,36-4013134,1,FIDELITY MORTGAGE DECISIONS   
738-3170942,7,38-3170942,1,PROFESSIONAL LOAN FUNDING     
738-3313951,7,38-3313951,1,BINGHAM FINANCIAL SERVICES COR
74261210018,7,4261210018,1,CITIZENS MORTGAGE SERVICE CO  
74864400009,7,4864400009,1,THE MONEY STORE               
75035300002,7,5035300002,1,FIRSTPLUS FINANACIAL INC      
75058400002,7,5058400002,1,EMPIRE FUNDING CORP.          
75062100002,7,5062100002,1,FIRST FINANCIAL FUNDING GROUP 
751-0372905,7,51-0372905,1,COMMERCIAL CREDIT        OF AL
752-0278491,7,52-0278491,1,COMMERCIAL CREDIT        CORPO
752-0278514,7,52-0278514,1,COMMERCIAL CREDIT        CORPO
752-0278518,7,52-0278518,1,COMMERCIAL CREDIT        CORPO
752-0278529,7,52-0278529,1,"COMMERCIAL CREDIT        PLAN,"
752-0278530,7,52-0278530,1,COMMERCIAL CREDIT        CONSU
752-0278534,7,52-0278534,1,COMMERCIAL CREDIT        CONSU
752-0278539,7,52-0278539,1,COMMERCIAL CREDIT PLAN   INDUS
752-0278549,7,52-0278549,1,COMMERCIAL CREDIT        CORPO
752-0544113,7,52-0544113,1,COMMERCIAL CREDIT        PLAN 
752-0572791,7,52-0572791,1,"COMMERCIAL CREDIT PLAN,  INCOR"
752-0609364,7,52-0609364,1,COMMERCIAL CREDIT        PLAN 
752-0781182,7,52-0781182,1,APPROVED FEDERAL SAVINGS BANK 
752-0792752,7,52-0792752,1,APPROVED FINANCIAL CORP.      
752-0799008,7,52-0799008,1,"COMMERCIAL CREDIT LOANS, INC. "
752-0808447,7,52-0808447,1,"COMMERCIAL CREDIT PLAN,  INCOR"
752-1008409,7,52-1008409,1,COMMERCIAL CREDIT PLAN   INC. 
752-1494782,7,52-1494782,1,COMMERCIAL CREDIT        LOANS
752-1690525,7,52-1690525,1,COMMERCIAL CREDIT        CORPO
752-1975133,7,52-1975133,1,COMMERCIAL CREDIT        OF MI
75220609999,7,5220609999,1,HOMEOWNERS PLUS               
75221409993,7,5221409993,1,DIVERSIFIED MORTGAGE SERVICES 
75222409994,7,5222409994,1,FREEDOM MORTGAGE CORPORATION  
75535100002,7,5535100002,1,"METWEST MORTGAGE SERVICES, INC"
756-1241990,7,56-1241990,1,COMMERCIAL CREDIT PLAN   CONSU
756-1317845,7,56-1317845,1,TRAVELERS HOME MORTGAGE  SERVI
756-1548939,7,56-1548939,1,CONSOLIDATED MORTGAGE AND FINA
756-1960744,7,56-1960744,1,DECISION ONE MORTGAGE COMPANY 
756-2023609,7,56-2023609,1,EQUIFIRST MORTGAGE CORPORATION
757-1042033,7,57-1042033,1,STERLING LENDING CORPORATION  
759-3324910,7,59-3324910,1,EMERGENT MORTGAGE             
761-0727921,7,61-0727921,1,COMMERCIAL CREDIT        INVES
76465609998,7,6465609998,1,AMERICAN CITY MORTGAGE        
76473009998,7,6473009998,1,FIRST FRANKLIN FINANCIAL CORP.
76485609994,7,6485609994,1,WESTMARK MORTGAGE             
76487409995,7,6487409995,1,"QUALITY MORTAGE USA, INC.     "
77023300002,7,7023300002,1,"SEACOAST EQUITIES, INC.       "
77033900007,7,7033900007,1,"TITLE WEST MORTGAGE, INC.     "
77042100008,7,7042100008,1,DOLLAR MORTGAGE CORPORATION   
77049700003,7,7049700003,1,MEGO MORTGAGE CORP.           
77051800006,7,7051800006,1,INTERBANK FUNDING GROUP       
77056700003,7,7056700003,1,CALIFORNIA LENDING GROUP      
77059200001,7,7059200001,1,"PREFERRED FINANCIAL FUNDING, I"
77062300004,7,7062300004,1,BUDGET NATIONAL FINANCE COMPAN
77069000008,7,7069000008,1,DELTA FUNDING CORPORATION     
77075600006,7,7075600006,1,"NF INVESTMENTS, INC.          "
77084200004,7,7084200004,1,TRADITIONAL MORTGAGE CORP     
77086400004,7,7086400004,1,AMERICAN BENEFIT MORTGAGE     
77113200004,7,7113200004,1,ADCO FINANCIAL MORTGAGE SERVIC
77132500005,7,7132500005,1,TWENTY-FIRST CENTURY LENDING  
77152500000,7,7152500000,1,PLATINUM CAPITAL GROUP        
77157600003,7,7157600003,1,HOMEADD FINANCIAL CORP.       
77162500008,7,7162500008,1,1ST CONSUMERS MORTGAGE CORP.  
77177000002,7,7177000002,1,MERITAGE MORTGAGE CORPORATION 
77177900003,7,7177900003,1,"CHADWICK MORTGAGE, INC        "
77185300006,7,7185300006,1,"ACCREDITED HOME LENDERS, INC. "
77187400002,7,7187400002,1,"NCS MORTGAGE SERVICES, LLC    "
77213700003,7,7213700003,1,FIDELITY FUNDING MORTGAGE CORP
77230100005,7,7230100005,1,"NORTH COUNTY REAL ESTATE, INC "
77260600007,7,7260600007,1,AMERICAN FAMILY FINANCIAL SRVS
77261100005,7,7261100005,1,"UNICOR FUNDING, INC.          "
77269800002,7,7269800002,1,MORTGAGE FUNDING              
77280000004,7,7280000004,1,"POWER FUNDING GROUP, INC.     "
77284300006,7,7284300006,1,"AFFINITY FINANCE,LLC          "
77346500008,7,7346500008,1,DFS FINANCIAL SERVICES        
77354400002,7,7354400002,1,"ENCORE MORTGAGE SERVICES, INC."
77397300003,7,7397300003,1,RESIDENTIAL MORTGAGE CORP.    
77434800003,7,7434800003,1,UNITED COMPANIES LENDING CORP.
77464900009,7,7464900009,1,EMC MORTGAGE CORPORATION      
77466400007,7,7466400007,1,FIRST NATIONAL SECURITY CORP. 
77496500002,7,7496500002,1,CITYSCAPE CORPORATION         
775-2428356,7,75-2428356,1,"EAGLE CAPITAL MORTGAGE, LTD   "
775-2570083,7,75-2570083,1,CENTEX CREDIT DBA CENTEX HOME 
77507300007,7,7507300007,1,ALLIED MORTGAGE CAPITAL CORP  
77511600000,7,7511600000,1,CONTIMORTGAGE CORPORATION     
77516500000,7,7516500000,1,PACIFIC SHORE FUNDING         
77542800002,7,7542800002,1,"MLSG, INC.                    "
77568500004,7,7568500004,1,CUSTOM MORTGAGE INC           
77576100006,7,7576100006,1,ACCEPTANCE MORTGAGE CORP.     
77590100004,7,7590100004,1,AMERICAN NATIONAL MORTGAGE COR
77604800006,7,7604800006,1,OPTION ONE MORTGAGE CORPORATIO
77607800005,7,7607800005,1,HEADLANDS MORTGAGE COMPANY    
77621700002,7,7621700002,1,WORLD WIDE FINANCIAL SERVICES 
77646700017,7,7646700017,1,PMC MORTGAGE CO.              
77648500001,7,7648500001,1,HOME MORTGAGE USA             
77652800004,7,7652800004,1,NATION ONE MORTGAGE           
77662200007,7,7662200007,1,SOUND MORTGAGE CORPORATION    
77673400003,7,7673400003,1,INVESTAID CORPORATION         
77678600007,7,7678600007,1,IVY MORTGAGE CORP.            
77696200007,7,7696200007,1,IMC MORTGAGE COMPANY          
77699600007,7,7699600007,1,"FIRST MORTGAGE NETWORK, INC.  "
77743800006,7,7743800006,1,MASTERS FUNDING GROUP INC     
77748300003,7,7748300003,1,COMMONPOINT MORTGAGE          
77750300000,7,7750300000,1,"FAIRWAY FINANCIAL CO., INC.   "
77751500009,7,7751500009,1,"WALSH SECURITIES, INC.        "
77756300009,7,7756300009,1,"AMERICAN EQUITY MORTGAGE, INC."
77756600001,7,7756600001,1,AMERIQEST MORTGAGE COMPANY    
77770100005,7,7770100005,1,"STANFORD MORTGAGE COMPANY, LLC"
77772900005,7,7772900005,1,MORTGAGE PLUS                 
77780000002,7,7780000002,1,EQUITY MORTGAGE MARYLAND INC. 
77786700007,7,7786700007,1,FEDERAL FINANCE               
77802100004,7,7802100004,1,EMC RESIDENTIAL MORTGAGE CORP 
77819200008,7,7819200008,1,"WEST SHELL MORTGAGE CO., INC. "
77840600009,7,7840600009,1,"BNC MORTGAGE, INC.            "
77859500003,7,7859500003,1,UNITED COMPANIES FUNDING INCOR
77862700009,7,7862700009,1,"NEWPORT SHORES FINANCIAL, INC."
77865800009,7,7865800009,1,"ONE STOP MORTGAGE, INC        "
77875200001,7,7875200001,1,FIRST GREENSBORO HOME EQUITY  
77875900008,7,7875900008,1,"EQUIVANTAGE, INC.             "
77885400001,7,7885400001,1,COREWEST BANC                 
77892800004,7,7892800004,1,FIELDSTONE MORTGAGE COMPANY   
77893400007,7,7893400007,1,SOUTHERN PACIFIC FUNDING CORP.
77895000006,7,7895000006,1,"THE MORTGAGE BANC, INC.       "
77900200006,7,7900200006,1,NEW CENTURY MORTGAGE CORP.    
77903500008,7,7903500008,1,IMPERIAL HOME LOANS           
77905300009,7,7905300009,1,AMERICREDIT CORPORATION OF CAL
77942800007,7,7942800007,1,TRANSAMERICA MORTGAGE COMPANY 
77943800003,7,7943800003,1,"SAXON MORTGAGE, INC.          "
77970400005,7,7970400005,1,FIRST GOVERNMENT MTG & INVTRS 
77994800000,7,7994800000,1,"OCWEN FINANCIAL SERVICES, INC "
788-0303373,7,88-0303373,1,AAMES HOME LOAN OF NEVADA     
795-2591924,7,95-2591924,1,AAMES HOME LOAN OF AMERICA    
795-2622032,7,95-2622032,1,AAMES FUNDING CORPORATION     
795-4362095,7,95-4362095,1,AAMES HOME LOAN               
795-4438859,7,95-4438859,1,AAMES CAPITAL CORPORATION     
795-4601683,7,95-4601683,1,AAMES CAPITAL CORPORATION OF M
799-0329470,7,99-0329470,1,"QUALITY FUNDING, INC.         "
10000001122,1,0000001122,2,CENTRAL NATIONAL BANK         
10000014569,1,0000014569,2,SouthTrust Bank of Alabama    
192-0145407,1,92-0145407,2,NORTHLAND CREDIT CORPORATION  
20000331647,2,0000331647,2,NBD BANK                      
20001035401,2,0001035401,2,"THE CIT GROUP/SALES FINANCING,"
30000007319,3,0000007319,2,ONBANK & TRUST CO.            
30000025726,3,0000025726,2,MURPHY BANK                   
30000033792,3,0000033792,2,ASSOCIATES CAPITAL BANK       
40000007705,4,0000007705,2,NORTHEAST BANK FSB            
72294709990,7,2294709990,2,GREEN TREE FINANCIAL          
74856500006,7,4856500006,2,VANDERBILT MORTGAGE           
754-1779092,7,54-1779092,2,"DYNEX FINANCIAL, INC.         "
756-1977469,7,56-1977469,2,DEUTSCHE FINANCIAL CAPITAL    
76500200040,7,6500200040,2,"FORD CONSUMER FINANCE CO.,INC."
76502700005,7,6502700005,2,ACCESS FINANCIAL LENDING CORP 
77162800002,7,7162800002,2,21ST CENTURY MORTGAGE         
775-2585326,7,75-2585326,2,"COUNTRYPLACE MORTGAGE, LTD.   "
77506600003,7,7506600003,2,OAKWOOD ACCEPTANCE CORP.      
788-0331093,7,88-0331093,2,BELGRAVIA FINANCIAL SERVICES  
,,,,
,,,,
