DATE,SCNPTL
1984-01-01,1.05
1984-04-01,0.90
1984-07-01,0.95
1984-10-01,1.00
1985-01-01,1.02
1985-04-01,1.08
1985-07-01,1.09
1985-10-01,1.09
1986-01-01,1.01
1986-04-01,1.13
1986-07-01,1.71
1986-10-01,1.59
1987-01-01,1.56
1987-04-01,1.51
1987-07-01,1.46
1987-10-01,1.38
1988-01-01,1.29
1988-04-01,1.19
1988-07-01,0.80
1988-10-01,0.84
1989-01-01,0.82
1989-04-01,0.95
1989-07-01,1.22
1989-10-01,1.03
1990-01-01,1.11
1990-04-01,1.24
1990-07-01,1.47
1990-10-01,1.67
1991-01-01,1.84
1991-04-01,1.87
1991-07-01,2.27
1991-10-01,2.28
1992-01-01,2.37
1992-04-01,2.22
1992-07-01,2.31
1992-10-01,2.12
1993-01-01,1.97
1993-04-01,1.89
1993-07-01,1.77
1993-10-01,1.48
1994-01-01,1.40
1994-04-01,1.28
1994-07-01,1.10
1994-10-01,0.88
1995-01-01,0.78
1995-04-01,0.70
1995-07-01,0.75
1995-10-01,0.80
1996-01-01,0.76
1996-04-01,0.83
1996-07-01,0.79
1996-10-01,0.74
1997-01-01,0.59
1997-04-01,0.59
1997-07-01,0.53
1997-10-01,0.45
1998-01-01,0.47
1998-04-01,0.41
1998-07-01,0.38
1998-10-01,0.39
1999-01-01,0.37
1999-04-01,0.32
1999-07-01,0.36
1999-10-01,0.39
2000-01-01,0.46
2000-04-01,0.53
2000-07-01,0.52
2000-10-01,0.54
2001-01-01,0.60
2001-04-01,0.72
2001-07-01,0.82
2001-10-01,0.78
2002-01-01,0.83
2002-04-01,0.92
2002-07-01,1.01
2002-10-01,1.00
2003-01-01,1.07
2003-04-01,1.03
2003-07-01,0.96
2003-10-01,0.81
2004-01-01,0.72
2004-04-01,0.64
2004-07-01,0.68
2004-10-01,0.57
2005-01-01,0.54
2005-04-01,0.56
2005-07-01,0.52
2005-10-01,0.53
2006-01-01,0.50
2006-04-01,0.49
2006-07-01,0.47
2006-10-01,0.42
2007-01-01,0.46
2007-04-01,0.46
2007-07-01,0.54
2007-10-01,0.75
2008-01-01,1.36
2008-04-01,1.42
2008-07-01,1.87
2008-10-01,2.61
2009-01-01,3.47
2009-04-01,4.33
2009-07-01,5.12
2009-10-01,6.26
2010-01-01,5.79
2010-04-01,5.54
2010-07-01,5.24
2010-10-01,5.34
2011-01-01,5.40
2011-04-01,5.54
2011-07-01,5.64
2011-10-01,5.45
2012-01-01,5.03
2012-04-01,4.74
2012-07-01,4.34
2012-10-01,4.26
2013-01-01,4.09
2013-04-01,3.79
2013-07-01,3.55
2013-10-01,3.07
2014-01-01,2.84
2014-04-01,2.49
2014-07-01,2.29
2014-10-01,1.76
2015-01-01,1.89
2015-04-01,1.78
2015-07-01,1.36
2015-10-01,1.16
2016-01-01,1.06
2016-04-01,0.93
2016-07-01,0.80
2016-10-01,0.79
2017-01-01,0.76
2017-04-01,0.75
2017-07-01,0.66
2017-10-01,0.58
2018-01-01,0.64
2018-04-01,0.63
2018-07-01,0.62
2018-10-01,0.59
2019-01-01,0.58
2019-04-01,0.50
2019-07-01,0.54
2019-10-01,0.54
2020-01-01,0.60
