,as_of_year,state_code,applicant_income,loan_amount,conventional_loans,FHA_loans,VA_loans,FSA_RHS_loans,purchase,improvement,refinancing,multifamily,loans_originated,loans_approved_not_originated,loans_denied,other_loans,race_black,race_other,race_white,race_msrpd,subprime,subprime_originated,subprime_amount,subprime_amount_originated,total,did
0,1990,01,3952106.277388469,3388468.7379149366,43446,17195,4580,3,45307,11708,6189,180,40373,2342,10696,11820,7010,986,57235,0,6,3,862.0,270.0,65231,0
1,1990,13,8928619.01278789,8824295.563191561,64267,33669,8799,11,75198,13357,15437,438,60848,1360,12273,32322,12583,3145,91075,0,221,55,19775.0,5467.0,106803,0
2,1990,27,9553899.244209824,6927407.737914937,52711,32611,4416,41,59880,22210,11977,416,60647,1555,8323,27826,1151,2561,94639,0,17,3,1415.0,135.0,98351,0
3,1990,37,9060084.88266847,7136549.1077454835,77906,25612,6608,16,69798,12457,14523,490,75424,2329,13062,19336,10944,3106,96101,0,75,11,5850.0,1503.0,110151,0
4,1990,45,3366073.3785732645,3446711.912638312,37157,13560,4574,1,36747,7694,5299,146,34082,1028,7238,12950,5218,1283,48797,0,26,10,3642.0,1742.0,55298,0
5,1990,51,11524801.82762566,14807649.912638312,96681,31863,17937,4,96314,25290,21047,725,85933,1169,13227,46222,10219,7815,128517,0,1214,377,68465.0,9094.0,146551,0
0,1991,01,3491051.979856713,3921760.0,48363,14672,7326,2,42585,12999,14636,142,44294,1538,10499,14032,7142,1095,62126,0,318,87,12214.0,4334.0,70363,0
1,1991,13,7190713.302612453,10312281.0,78203,33223,10139,28,75155,13278,32984,176,71826,2275,13751,33741,14820,4677,102096,0,1090,619,87144.0,55246.0,121593,0
2,1991,27,7884922.424867951,8574851.0,77345,33522,5013,12,58388,21530,35849,125,74810,1831,10389,28862,1150,2736,112006,0,225,98,11774.0,5486.0,115892,0
3,1991,37,6678151.487648366,8866243.0,103021,17799,7823,62,79743,13754,35042,166,82662,5167,20824,20052,13755,3498,111452,0,183,123,19826.0,14515.0,128705,0
4,1991,45,3318514.7302629184,3981587.0,49222,8740,4663,17,39671,8430,14451,90,37537,2286,10397,12422,6685,1143,54814,0,68,52,8208.0,6920.0,62642,0
5,1991,51,10898411.740185969,17188965.0,110410,30221,21695,18,96459,18664,47095,125,96383,2217,15403,48341,12424,9006,140914,0,635,229,66341.0,24288.0,162344,0
0,1992,01,6341891.790773334,7305221.447747656,95207,15204,8754,26,58667,13492,46928,108,76013,3402,17936,21844,11223,2098,105874,0,2754,718,63718.0,19613.0,119195,0
1,1992,13,13683407.178869706,19143495.0,156055,40594,17353,74,98494,14485,100934,163,126087,3771,20633,63585,18509,7515,188052,0,7368,5642,730130.0,584615.0,214076,0
2,1992,27,12536602.16974411,17002787.0,150483,45512,8498,151,73287,23591,107609,157,131484,2406,13910,56844,1580,4462,198602,0,51,20,5147.0,2021.0,204644,0
3,1992,37,11371974.73951326,15069813.0,172789,22079,13964,156,102250,12371,94158,209,138953,7145,26030,36860,19603,5520,183865,0,2637,653,118072.0,38594.0,208988,0
4,1992,45,5607528.128147051,7020981.895495312,86119,9980,8220,59,51161,7343,45793,81,63965,3445,14380,22588,9560,1896,92922,0,1493,375,63085.0,23584.0,104378,0
5,1992,51,18428352.706766438,30765833.0,201336,33621,36931,26,110250,19505,141887,272,172558,3581,21689,74086,17042,15201,239671,0,3351,2004,374741.0,245958.0,271914,0
0,1993,01,8286475.490384723,10447465.0,120889,22349,12678,58,75194,13688,66991,101,102686,4792,22763,25733,16734,2738,136502,0,4687,2318,220027.0,124558.0,155974,0
1,1993,13,20822996.528587468,30347161.0,222443,77485,27301,645,133605,18945,175116,208,204675,7035,31789,84375,33665,11471,282738,0,15526,10276,1296514.0,942376.0,327874,0
2,1993,27,20493318.129640874,29189037.0,211806,90922,17294,353,92087,32841,195179,268,240515,4499,18607,56754,3026,8224,309125,0,1693,589,245947.0,72165.0,320375,0
3,1993,37,15353661.849535037,20927052.04714346,219602,38186,20636,349,130360,16647,131574,192,192715,12425,36685,36948,29187,9354,240232,0,7477,2437,414147.0,166782.0,278773,0
4,1993,45,7339153.866036496,9081337.0,107828,14069,9701,28,59520,8228,63808,70,90656,6069,19442,15459,15228,3163,113235,0,3662,1548,193131.0,95339.0,131626,0
5,1993,51,25703117.422169995,43263303.227460384,250971,69858,64372,149,132732,22206,230195,217,276193,5571,27108,76478,29625,25618,330107,0,7597,5014,745882.0,542708.0,385350,0
0,1994,01,6447285.210684889,8254439.0,106783,16350,9619,306,81680,14282,36944,152,78661,5783,23816,24798,20221,2541,110296,0,7527,3158,310388.0,142672.0,133058,0
1,1994,13,14202560.873207714,21642827.0,186017,52971,20116,773,155627,24307,79755,188,144709,11757,36707,66704,42775,10218,206884,0,22451,9629,1377291.0,761011.0,259877,0
2,1994,27,10053781.147768244,14210255.0,133374,38404,8635,355,82467,37026,60968,307,123160,5362,18540,33706,3006,6017,171745,0,4586,1693,277837.0,118451.0,180768,0
3,1994,37,12445380.38152363,17281748.0,209327,27756,19169,482,156892,26121,73481,240,152488,17574,45263,41409,36376,9238,211120,0,15081,3899,665782.0,188926.0,256734,0
4,1994,45,5666837.108102992,7213375.0,100620,11192,7117,34,71187,11700,35975,101,67918,8655,24058,18332,19065,3999,95899,0,7623,2292,274626.0,94664.0,118963,0
5,1994,51,16478960.819044597,27638078.0,180001,50023,40558,169,136374,31016,103170,191,166033,9266,27878,67574,31406,18010,221335,0,10993,4062,895747.0,409063.0,270751,0
0,1995,01,6037314.751330227,7512897.0,108170,13948,6522,494,87911,13841,27286,96,74154,7008,27346,20626,20442,2501,106191,0,5417,1803,206495.0,74611.0,129134,0
1,1995,13,14385044.138655704,21698045.0,210444,40826,17334,687,179769,28544,60778,200,142435,15103,46804,64949,48602,11139,209550,0,28886,10575,1551838.0,698286.0,269291,0
2,1995,27,9035107.21339046,12265103.0,129222,28659,6007,357,91265,33126,39592,262,107692,6609,19683,30261,3037,6135,155073,0,7617,2050,410634.0,105643.0,164245,0
3,1995,37,13783228.590491809,19166973.0,247446,22455,18609,864,194729,24600,69724,321,158412,21076,68197,41689,44268,11694,233412,0,28976,8367,1176500.0,347276.0,289374,0
4,1995,45,6721692.768128814,8375801.0,133207,8981,5646,102,100108,12191,35550,87,73441,12290,42045,20160,29284,4782,113870,0,16012,3875,556173.0,139357.0,147936,0
5,1995,51,13625877.803653926,22348792.0,167815,38781,26652,147,136507,35267,61432,189,137234,11807,33468,50886,31253,14476,187666,0,13682,4016,952444.0,342515.0,233395,0
0,1996,01,8517211.201116089,10954802.0,154324,16307,7932,815,117747,15365,46103,163,97513,9806,42233,29826,26203,3222,149953,0,4580,1938,230878.0,102227.0,179378,0
1,1996,13,22519475.28115659,33110401.0,337647,51590,22017,1059,246090,40798,125097,328,194521,25182,83810,108800,68768,16562,326983,0,56056,16171,2902185.0,908807.0,412313,0
2,1996,27,13885304.222463429,18413829.0,202338,33866,7113,717,108651,39442,95571,370,150604,13185,37161,43084,3825,8813,231396,0,20139,5212,1090312.0,293933.0,244034,0
3,1996,37,21198623.577571336,29322825.0,381795,30163,18892,1074,256052,37457,137977,438,212493,33901,114797,70733,64267,18467,349190,0,61812,16129,2872047.0,723042.0,431924,0
4,1996,45,11286383.035271497,14698818.0,224989,12681,6629,450,154730,19728,70142,149,105873,20052,78694,40130,50942,5856,187951,0,34271,7627,1386751.0,326703.0,244749,0
5,1996,51,19531698.989377312,31416740.0,245761,52694,31495,224,166260,46243,117371,300,179480,17782,53188,79724,40506,18702,270966,0,29872,7488,1872667.0,480382.0,330174,0
0,1997,01,10157331.460943405,12850456.0,186561,20772,7607,980,141433,22085,52220,182,106979,13701,61924,33316,34578,4866,176476,0,6088,2253,340036.0,133274.0,215920,0
1,1997,13,27260702.022555042,39897864.0,419402,56665,19372,1187,279035,51682,165471,438,216718,36355,121438,122115,85701,21274,389651,0,94404,23630,5357701.0,1452992.0,496626,0
2,1997,27,15581415.481529217,20564650.0,227879,28711,6360,841,110025,40751,112579,436,152662,17195,42760,51174,4555,10960,248276,0,38437,10088,2324577.0,661625.0,263791,0
3,1997,37,27773479.886429023,44394041.0,482918,32072,18670,1278,299165,44476,190798,499,236805,53792,152115,92226,83190,24885,426863,0,113665,25529,12592361.0,2137066.0,534938,0
4,1997,45,15837504.829224505,27441778.0,281758,13321,6149,580,183321,21679,96622,186,112442,33489,106558,49319,67337,7251,227220,0,58261,13069,11883397.0,1436461.0,301808,0
5,1997,51,23216740.208912835,36099996.0,297002,54418,28875,342,192823,47904,139586,324,193447,22109,71246,93835,42931,21714,315992,0,55916,11994,3339718.0,784610.0,380637,0
0,1998,01,15592155.392993903,20844890.0,270150,22774,12140,879,168355,25190,112203,195,155044,16057,82139,52703,47037,5101,253805,0,18753,5726,1075404.0,346522.0,305943,0
1,1998,13,43016522.40653778,69785461.0,629194,62830,32531,1702,337099,42234,346428,496,338739,48098,152158,187262,111483,30840,583934,0,143595,30249,12190385.0,2187027.0,726257,0
2,1998,27,29331386.374184363,41803865.0,418179,36702,12409,1569,143898,48046,276333,582,272948,29531,64389,101991,7277,17879,443703,0,77424,17693,5271327.0,1218532.0,468859,0
3,1998,37,42619558.732751235,65424088.0,722252,31920,29879,1635,357931,37602,389576,577,357219,81009,197850,149608,102321,34457,648908,0,191690,40671,13201021.0,2443753.0,785686,0
4,1998,45,20964996.32320683,30127399.0,385634,11140,10669,847,202675,19621,185795,199,161872,40910,128950,76558,73986,10421,323883,0,102152,20046,6439837.0,1138307.0,408290,0
5,1998,51,39528403.88216531,64025325.0,474714,70327,53174,553,233526,44537,320404,301,320802,32966,96414,148586,55335,35636,507797,0,87477,18062,6632047.0,1293680.0,598768,0
0,1999,01,14934354.981330058,20515201.0,271325,22226,8637,948,170075,23363,109418,280,136970,20380,89110,56676,49820,6197,247119,0,45449,11414,2744177.0,733191.0,303136,0
