DATE,ALHOWN
1984-01-01,73.7
1985-01-01,70.4
1986-01-01,70.3
1987-01-01,67.9
1988-01-01,66.5
1989-01-01,67.6
1990-01-01,68.4
1991-01-01,69.9
1992-01-01,70.3
1993-01-01,70.2
1994-01-01,68.5
1995-01-01,70.1
1996-01-01,71.0
1997-01-01,71.3
1998-01-01,72.9
1999-01-01,74.8
2000-01-01,73.2
2001-01-01,73.2
2002-01-01,73.7
2003-01-01,76.2
2004-01-01,78.0
2005-01-01,76.6
2006-01-01,74.2
2007-01-01,73.3
2008-01-01,73.0
2009-01-01,74.1
2010-01-01,73.2
2011-01-01,72.9
2012-01-01,71.9
2013-01-01,72.7
2014-01-01,72.1
2015-01-01,70.0
2016-01-01,69.7
2017-01-01,70.0
2018-01-01,70.3
2019-01-01,70.7
