DATE,GAHOWN
1984-01-01,63.6
1985-01-01,62.7
1986-01-01,62.4
1987-01-01,63.9
1988-01-01,64.8
1989-01-01,64.7
1990-01-01,64.3
1991-01-01,65.7
1992-01-01,66.9
1993-01-01,66.5
1994-01-01,63.4
1995-01-01,66.6
1996-01-01,69.3
1997-01-01,70.9
1998-01-01,71.2
1999-01-01,71.3
2000-01-01,69.8
2001-01-01,70.1
2002-01-01,71.8
2003-01-01,71.4
2004-01-01,70.9
2005-01-01,67.9
2006-01-01,68.5
2007-01-01,67.6
2008-01-01,68.2
2009-01-01,67.4
2010-01-01,67.1
2011-01-01,66.2
2012-01-01,64.3
2013-01-01,64.2
2014-01-01,62.9
2015-01-01,62.9
2016-01-01,62.3
2017-01-01,62.8
2018-01-01,63.8
2019-01-01,64.4
