DATE,SCHOWN
1984-01-01,69.1
1985-01-01,72.0
1986-01-01,70.3
1987-01-01,72.8
1988-01-01,73.8
1989-01-01,71.0
1990-01-01,71.4
1991-01-01,73.1
1992-01-01,71.0
1993-01-01,71.1
1994-01-01,72.0
1995-01-01,71.3
1996-01-01,72.9
1997-01-01,74.1
1998-01-01,76.6
1999-01-01,77.1
2000-01-01,76.5
2001-01-01,76.1
2002-01-01,77.5
2003-01-01,75.0
2004-01-01,76.2
2005-01-01,73.9
2006-01-01,74.2
2007-01-01,74.1
2008-01-01,73.9
2009-01-01,74.4
2010-01-01,74.8
2011-01-01,74.2
2012-01-01,71.5
2013-01-01,72.4
2014-01-01,72.9
2015-01-01,67.1
2016-01-01,68.9
2017-01-01,72.8
2018-01-01,72.0
2019-01-01,72.6
