DATE,MEHOINUSMNA646N
1984-01-01,24436
1985-01-01,23856
1986-01-01,26443
1987-01-01,28082
1988-01-01,29087
1989-01-01,30185
1990-01-01,31465
1991-01-01,29479
1992-01-01,30981
1993-01-01,33682
1994-01-01,33644
1995-01-01,37933
1996-01-01,40991
1997-01-01,42564
1998-01-01,47926
1999-01-01,47038
2000-01-01,54251
2001-01-01,52681
2002-01-01,54622
2003-01-01,52823
2004-01-01,56104
2005-01-01,54215
2006-01-01,56211
2007-01-01,58058
2008-01-01,54925
2009-01-01,56090
2010-01-01,52321
2011-01-01,57820
2012-01-01,61795
2013-01-01,64324
2014-01-01,67244
2015-01-01,68730
2016-01-01,70218
2017-01-01,69975
2018-01-01,71817
