DATE,MEHOINUSVAA646N
1984-01-01,26525
1985-01-01,28429
1986-01-01,29715
1987-01-01,29996
1988-01-01,32648
1989-01-01,34118
1990-01-01,35073
1991-01-01,36137
1992-01-01,38198
1993-01-01,36433
1994-01-01,37647
1995-01-01,36222
1996-01-01,39211
1997-01-01,42957
1998-01-01,43354
1999-01-01,45693
2000-01-01,47163
2001-01-01,50241
2002-01-01,49631
2003-01-01,54783
2004-01-01,51141
2005-01-01,51914
2006-01-01,57119
2007-01-01,59161
2008-01-01,61985
2009-01-01,60501
2010-01-01,60367
2011-01-01,62616
2012-01-01,64632
2013-01-01,65907
2014-01-01,66155
2015-01-01,61486
2016-01-01,66451
2017-01-01,70811
2018-01-01,77151
