DATE,MNNPTL
1984-01-01,3.09
1984-04-01,3.10
1984-07-01,3.06
1984-10-01,3.28
1985-01-01,3.79
1985-04-01,3.79
1985-07-01,3.95
1985-10-01,3.61
1986-01-01,4.10
1986-04-01,4.17
1986-07-01,3.72
1986-10-01,3.22
1987-01-01,4.32
1987-04-01,4.08
1987-07-01,3.73
1987-10-01,3.82
1988-01-01,3.40
1988-04-01,3.00
1988-07-01,2.71
1988-10-01,2.36
1989-01-01,2.23
1989-04-01,2.18
1989-07-01,1.85
1989-10-01,1.87
1990-01-01,2.00
1990-04-01,2.03
1990-07-01,2.07
1990-10-01,2.20
1991-01-01,2.16
1991-04-01,2.18
1991-07-01,2.16
1991-10-01,1.96
1992-01-01,1.91
1992-04-01,1.66
1992-07-01,1.44
1992-10-01,1.30
1993-01-01,1.35
1993-04-01,1.22
1993-07-01,1.07
1993-10-01,0.84
1994-01-01,0.86
1994-04-01,0.77
1994-07-01,0.67
1994-10-01,0.64
1995-01-01,0.61
1995-04-01,0.54
1995-07-01,0.58
1995-10-01,0.57
1996-01-01,0.70
1996-04-01,0.70
1996-07-01,0.73
1996-10-01,0.65
1997-01-01,0.69
1997-04-01,0.65
1997-07-01,0.70
1997-10-01,0.89
1998-01-01,0.66
1998-04-01,0.65
1998-07-01,0.64
1998-10-01,0.59
1999-01-01,0.69
1999-04-01,0.65
1999-07-01,0.66
1999-10-01,0.62
2000-01-01,0.68
2000-04-01,0.68
2000-07-01,0.70
2000-10-01,0.76
2001-01-01,0.91
2001-04-01,0.95
2001-07-01,0.79
2001-10-01,0.81
2002-01-01,0.99
2002-04-01,0.85
2002-07-01,0.75
2002-10-01,0.69
2003-01-01,0.74
2003-04-01,0.71
2003-07-01,0.66
2003-10-01,0.56
2004-01-01,0.78
2004-04-01,0.73
2004-07-01,0.73
2004-10-01,0.64
2005-01-01,0.64
2005-04-01,0.65
2005-07-01,0.61
2005-10-01,0.59
2006-01-01,0.67
2006-04-01,0.67
2006-07-01,0.81
2006-10-01,0.83
2007-01-01,0.98
2007-04-01,0.85
2007-07-01,1.01
2007-10-01,1.16
2008-01-01,1.49
2008-04-01,2.04
2008-07-01,2.20
2008-10-01,2.63
2009-01-01,2.95
2009-04-01,3.29
2009-07-01,3.41
2009-10-01,3.10
2010-01-01,3.48
2010-04-01,3.49
2010-07-01,3.39
2010-10-01,3.12
2011-01-01,3.13
2011-04-01,3.01
2011-07-01,3.00
2011-10-01,2.61
2012-01-01,2.51
2012-04-01,2.27
2012-07-01,2.16
2012-10-01,1.85
2013-01-01,1.76
2013-04-01,1.68
2013-07-01,1.55
2013-10-01,1.35
2014-01-01,1.28
2014-04-01,1.20
2014-07-01,1.15
2014-10-01,0.95
2015-01-01,0.97
2015-04-01,0.96
2015-07-01,0.92
2015-10-01,0.91
2016-01-01,0.91
2016-04-01,0.88
2016-07-01,0.91
2016-10-01,0.81
2017-01-01,0.90
2017-04-01,0.80
2017-07-01,0.89
2017-10-01,0.87
2018-01-01,0.90
2018-04-01,0.87
2018-07-01,0.89
2018-10-01,0.88
2019-01-01,0.92
2019-04-01,0.92
2019-07-01,0.89
2019-10-01,0.82
