DATE,VANPTL
1984-01-01,1.09
1984-04-01,1.18
1984-07-01,1.13
1984-10-01,1.03
1985-01-01,1.04
1985-04-01,1.01
1985-07-01,1.08
1985-10-01,1.00
1986-01-01,1.00
1986-04-01,1.02
1986-07-01,1.04
1986-10-01,0.95
1987-01-01,1.11
1987-04-01,1.01
1987-07-01,0.98
1987-10-01,0.86
1988-01-01,0.91
1988-04-01,0.80
1988-07-01,0.78
1988-10-01,0.83
1989-01-01,0.86
1989-04-01,0.91
1989-07-01,0.99
1989-10-01,0.88
1990-01-01,1.23
1990-04-01,1.59
1990-07-01,1.99
1990-10-01,3.03
1991-01-01,3.93
1991-04-01,4.35
1991-07-01,4.36
1991-10-01,3.78
1992-01-01,3.76
1992-04-01,3.51
1992-07-01,3.14
1992-10-01,2.69
1993-01-01,2.49
1993-04-01,2.14
1993-07-01,2.08
1993-10-01,1.69
1994-01-01,1.50
1994-04-01,1.35
1994-07-01,1.20
1994-10-01,1.08
1995-01-01,1.18
1995-04-01,1.24
1995-07-01,1.05
1995-10-01,1.21
1996-01-01,1.15
1996-04-01,1.07
1996-07-01,1.13
1996-10-01,1.06
1997-01-01,0.96
1997-04-01,0.91
1997-07-01,0.96
1997-10-01,0.84
1998-01-01,0.89
1998-04-01,0.84
1998-07-01,0.79
1998-10-01,0.80
1999-01-01,0.83
1999-04-01,0.88
1999-07-01,0.99
1999-10-01,0.98
2000-01-01,1.11
2000-04-01,1.18
2000-07-01,1.30
2000-10-01,1.41
2001-01-01,0.87
2001-04-01,0.86
2001-07-01,0.85
2001-10-01,0.73
2002-01-01,0.92
2002-04-01,0.83
2002-07-01,1.07
2002-10-01,1.04
2003-01-01,0.98
2003-04-01,0.82
2003-07-01,0.75
2003-10-01,0.65
2004-01-01,0.56
2004-04-01,0.55
2004-07-01,0.50
2004-10-01,0.48
2005-01-01,0.47
2005-04-01,0.40
2005-07-01,0.40
2005-10-01,0.46
2006-01-01,0.47
2006-04-01,0.46
2006-07-01,0.55
2006-10-01,0.75
2007-01-01,0.89
2007-04-01,0.85
2007-07-01,0.89
2007-10-01,1.04
2008-01-01,1.09
2008-04-01,1.06
2008-07-01,1.28
2008-10-01,1.90
2009-01-01,2.27
2009-04-01,2.64
2009-07-01,3.57
2009-10-01,3.89
2010-01-01,3.74
2010-04-01,3.38
2010-07-01,3.27
2010-10-01,3.21
2011-01-01,3.04
2011-04-01,2.67
2011-07-01,2.55
2011-10-01,2.40
2012-01-01,2.23
2012-04-01,2.05
2012-07-01,2.05
2012-10-01,1.89
2013-01-01,1.83
2013-04-01,1.74
2013-07-01,1.67
2013-10-01,1.66
2014-01-01,1.53
2014-04-01,1.45
2014-07-01,1.37
2014-10-01,1.33
2015-01-01,1.29
2015-04-01,1.26
2015-07-01,1.33
2015-10-01,1.37
2016-01-01,1.47
2016-04-01,1.56
2016-07-01,1.58
2016-10-01,1.62
2017-01-01,1.50
2017-04-01,1.41
2017-07-01,1.49
2017-10-01,1.37
2018-01-01,1.19
2018-04-01,1.01
2018-07-01,1.01
2018-10-01,1.07
2019-01-01,1.02
2019-04-01,0.94
2019-07-01,1.05
2019-10-01,1.14
