,year,state,race,sex,age,state_fips,population
20400,1989,AK,1,1,1,10,70499
20401,1989,AK,1,1,2,6,64005
20402,1989,AK,1,1,3,6,59043
20403,1989,AK,1,1,4,6,22411
20404,1989,AK,1,1,5,10,7597
20405,1989,AK,1,2,1,10,64638
20406,1989,AK,1,2,2,6,55532
20407,1989,AK,1,2,3,6,48939
20408,1989,AK,1,2,4,6,18167
20409,1989,AK,1,2,5,10,8323
20410,1989,AK,2,1,1,20,27535
20411,1989,AK,2,1,2,12,18746
20412,1989,AK,2,1,3,12,11359
20413,1989,AK,2,1,4,12,4973
20414,1989,AK,2,1,5,20,2380
20415,1989,AK,2,2,1,20,26239
20416,1989,AK,2,2,2,12,17509
20417,1989,AK,2,2,3,12,11132
20418,1989,AK,2,2,4,12,5296
20419,1989,AK,2,2,5,20,2847
20420,1989,AL,1,1,1,335,415039
20421,1989,AL,1,1,2,201,355961
20422,1989,AL,1,1,3,201,302390
20423,1989,AL,1,1,4,201,212771
20424,1989,AL,1,1,5,335,159517
20425,1989,AL,1,2,1,335,392604
20426,1989,AL,1,2,2,201,350184
20427,1989,AL,1,2,3,201,307154
20428,1989,AL,1,2,4,201,233787
20429,1989,AL,1,2,5,335,245675
20430,1989,AL,2,1,1,623,201205
20431,1989,AL,2,1,2,376,117971
20432,1989,AL,2,1,3,374,79928
20433,1989,AL,2,1,4,351,45851
20434,1989,AL,2,1,5,483,41654
20435,1989,AL,2,2,1,605,199166
20436,1989,AL,2,2,2,380,140717
20437,1989,AL,2,2,3,383,97340
20438,1989,AL,2,2,4,370,63548
20439,1989,AL,2,2,5,518,67777
20440,1989,AR,1,1,1,1875,277207
20441,1989,AR,1,1,2,1125,216917
20442,1989,AR,1,1,3,1125,190321
20443,1989,AR,1,1,4,1125,136121
20444,1989,AR,1,1,5,1875,124319
20445,1989,AR,1,2,1,1875,261199
20446,1989,AR,1,2,2,1125,216781
20447,1989,AR,1,2,3,1125,195754
20448,1989,AR,1,2,4,1125,149754
20449,1989,AR,1,2,5,1875,178339
20450,1989,AR,2,1,1,3145,81216
20451,1989,AR,2,1,2,1950,42973
20452,1989,AR,2,1,3,1950,28532
20453,1989,AR,2,1,4,1835,15975
20454,1989,AR,2,1,5,2415,17328
20455,1989,AR,2,2,1,3140,79531
20456,1989,AR,2,2,2,1975,51699
20457,1989,AR,2,2,3,2000,34244
20458,1989,AR,2,2,4,1930,21652
20459,1989,AR,2,2,5,2650,26513
20460,1989,AZ,1,1,1,280,477013
20461,1989,AZ,1,1,2,168,415207
20462,1989,AZ,1,1,3,168,316590
20463,1989,AZ,1,1,4,168,200508
20464,1989,AZ,1,1,5,280,191995
20465,1989,AZ,1,2,1,280,453280
20466,1989,AZ,1,2,2,168,397531
20467,1989,AZ,1,2,3,168,318245
20468,1989,AZ,1,2,4,168,221020
20469,1989,AZ,1,2,5,280,252002
20470,1989,AZ,2,1,1,544,80445
20471,1989,AZ,2,1,2,328,54240
20472,1989,AZ,2,1,3,332,30558
20473,1989,AZ,2,1,4,328,14592
20474,1989,AZ,2,1,5,476,8447
20475,1989,AZ,2,2,1,552,77923
20476,1989,AZ,2,2,2,328,52018
20477,1989,AZ,2,2,3,328,32640
20478,1989,AZ,2,2,4,316,17214
20479,1989,AZ,2,2,5,504,10712
20480,1989,CA,1,1,1,1740,3491171
20481,1989,CA,1,1,2,1044,3485400
20482,1989,CA,1,1,3,1044,2487670
20483,1989,CA,1,1,4,1044,1416725
20484,1989,CA,1,1,5,1734,1111398
20485,1989,CA,1,2,1,1740,3276232
20486,1989,CA,1,2,2,1044,3112094
20487,1989,CA,1,2,3,1044,2421619
20488,1989,CA,1,2,4,1044,1497820
20489,1989,CA,1,2,5,1740,1592799
20490,1989,CA,2,1,1,3378,907114
20491,1989,CA,2,1,2,2058,781478
20492,1989,CA,2,1,3,2028,523086
20493,1989,CA,2,1,4,2004,260036
20494,1989,CA,2,1,5,3078,155080
20495,1989,CA,2,2,1,3336,858944
20496,1989,CA,2,2,2,2010,763754
20497,1989,CA,2,2,3,1986,565902
20498,1989,CA,2,2,4,1938,302787
20499,1989,CA,2,2,5,3150,207054
20500,1989,CO,1,1,1,2520,455171
20501,1989,CO,1,1,2,1512,399521
20502,1989,CO,1,1,3,1512,346930
20503,1989,CO,1,1,4,1512,182498
20504,1989,CO,1,1,5,2504,127589
20505,1989,CO,1,2,1,2520,430812
20506,1989,CO,1,2,2,1512,391686
20507,1989,CO,1,2,3,1512,343072
20508,1989,CO,1,2,4,1512,192227
20509,1989,CO,1,2,5,2504,182313
20510,1989,CO,2,1,1,3392,41029
20511,1989,CO,2,1,2,2168,34829
20512,1989,CO,2,1,3,2160,21461
20513,1989,CO,2,1,4,1696,9900
20514,1989,CO,2,1,5,1792,4704
20515,1989,CO,2,2,1,3288,39748
20516,1989,CO,2,2,2,2048,32009
20517,1989,CO,2,2,3,1888,22409
20518,1989,CO,2,2,4,1648,11230
20519,1989,CO,2,2,5,1824,6688
20520,1989,CT,1,1,1,360,376065
20521,1989,CT,1,1,2,216,373109
20522,1989,CT,1,1,3,216,310748
20523,1989,CT,1,1,4,216,203895
20524,1989,CT,1,1,5,360,166242
20525,1989,CT,1,2,1,360,357444
20526,1989,CT,1,2,2,216,369090
20527,1989,CT,1,2,3,216,320015
20528,1989,CT,1,2,4,216,219497
20529,1989,CT,1,2,5,360,253944
20530,1989,CT,2,1,1,720,59743
20531,1989,CT,2,1,2,432,48094
20532,1989,CT,2,1,3,432,29846
20533,1989,CT,2,1,4,432,15221
20534,1989,CT,2,1,5,693,7166
20535,1989,CT,2,2,1,720,57842
20536,1989,CT,2,2,2,432,51143
20537,1989,CT,2,2,3,432,34723
20538,1989,CT,2,2,4,432,18287
20539,1989,CT,2,2,5,693,11306
20540,1989,DC,1,1,1,55,15096
20541,1989,DC,1,1,2,33,36252
20542,1989,DC,1,1,3,33,23738
20543,1989,DC,1,1,4,33,11278
20544,1989,DC,1,1,5,55,9116
20545,1989,DC,1,2,1,55,14992
20546,1989,DC,1,2,2,33,36124
20547,1989,DC,1,2,3,33,22236
20548,1989,DC,1,2,4,33,10889
20549,1989,DC,1,2,5,55,15805
20550,1989,DC,2,1,1,110,58911
20551,1989,DC,2,1,2,66,53429
20552,1989,DC,2,1,3,66,38419
20553,1989,DC,2,1,4,66,25622
20554,1989,DC,2,1,5,110,19100
20555,1989,DC,2,2,1,110,59008
20556,1989,DC,2,2,2,66,62109
20557,1989,DC,2,2,3,66,45801
20558,1989,DC,2,2,4,66,33170
20559,1989,DC,2,2,5,110,33065
20560,1989,DE,1,1,1,150,72029
20561,1989,DE,1,1,2,90,69802
20562,1989,DE,1,1,3,90,53965
20563,1989,DE,1,1,4,90,37162
20564,1989,DE,1,1,5,150,28281
20565,1989,DE,1,2,1,150,69202
20566,1989,DE,1,2,2,90,69564
20567,1989,DE,1,2,3,90,54776
20568,1989,DE,1,2,4,90,40041
20569,1989,DE,1,2,5,150,41473
20570,1989,DE,2,1,1,300,21726
20571,1989,DE,2,1,2,180,16050
20572,1989,DE,2,1,3,180,10520
20573,1989,DE,2,1,4,180,5903
20574,1989,DE,2,1,5,300,3618
20575,1989,DE,2,2,1,300,21556
20576,1989,DE,2,2,2,180,17862
20577,1989,DE,2,2,3,180,12527
20578,1989,DE,2,2,4,180,6862
20579,1989,DE,2,2,5,300,5360
20580,1989,FL,1,1,1,4020,1251445
20581,1989,FL,1,1,2,2412,1246370
20582,1989,FL,1,1,3,2412,1014264
20583,1989,FL,1,1,4,2412,762767
20584,1989,FL,1,1,5,4020,926690
20585,1989,FL,1,2,1,4020,1182445
20586,1989,FL,1,2,2,2412,1200883
20587,1989,FL,1,2,3,2412,1030936
20588,1989,FL,1,2,4,2412,874183
20589,1989,FL,1,2,5,4020,1238705
20590,1989,FL,2,1,1,7788,364829
20591,1989,FL,2,1,2,4764,242224
20592,1989,FL,2,1,3,4740,162417
20593,1989,FL,2,1,4,4704,87918
20594,1989,FL,2,1,5,6972,53256
20595,1989,FL,2,2,1,7872,357156
20596,1989,FL,2,2,2,4740,267825
20597,1989,FL,2,2,3,4788,187149
20598,1989,FL,2,2,4,4692,105453
20599,1989,FL,2,2,5,7176,80782
20600,1989,GA,1,1,1,10335,655917
20601,1989,GA,1,1,2,6201,604056
20602,1989,GA,1,1,3,6201,503744
20603,1989,GA,1,1,4,6201,299655
20604,1989,GA,1,1,5,10335,196245
20605,1989,GA,1,2,1,10335,615900
20606,1989,GA,1,2,2,6201,582572
20607,1989,GA,1,2,3,6201,506349
20608,1989,GA,1,2,4,6201,319491
