,year,state_code,county_code,applicant_income,loan_amount,conventional_loans,FHA_loans,VA_loans,FSA_RHS_loans,purchase,improvement,refinancing,multifamily,loans_originated,loans_approved_not_originated,loans_denied,other_loans,race_black,race_other,race_white,race_msrpd,subprime,subprime_originated,subprime_amount,subprime_amount_originated,total,elapsed_time,prime,prime_originated,prime_amount,state,population,sthpi,mh_income
0,1990,1,0,2448.2903529968703,3042.0,27,12,10,0,45,4,0,0,26,2,9,12,5,1,41,2,0,0,0.0,0.0,49,0,49,26,3042.0,AL,4050055,146.865,23357
1,1990,1,1,84986.77600331401,36733.0,854,148,98,0,635,222,223,0,699,25,120,256,145,11,797,147,2,0,292.0,0.0,1100,0,1098,699,36441.0,AL,4050055,146.865,23357
2,1990,1,2,168.0,198.0,3,1,0,0,4,0,0,0,0,0,0,4,0,0,3,1,0,0,0.0,0.0,4,0,4,0,198.0,AL,4050055,146.865,23357
3,1990,1,3,158544.165655051,128964.0,2016,463,94,1,1725,496,310,20,1659,72,438,405,118,45,2019,392,0,0,0.0,0.0,2574,0,2574,1659,128964.0,AL,4050055,146.865,23357
4,1990,1,5,1735.5162354890601,1767.0,41,16,2,0,54,0,5,0,14,12,16,17,12,0,31,16,0,0,0.0,0.0,59,0,59,14,1767.0,AL,4050055,146.865,23357
5,1990,1,7,3654.64517649844,2845.0,84,22,3,0,93,7,6,0,47,17,33,12,6,1,91,11,0,0,0.0,0.0,109,0,109,47,2845.0,AL,4050055,146.865,23357
6,1990,1,9,31250.1948258687,23952.0,727,115,14,0,455,191,208,1,580,48,139,89,6,12,751,87,0,0,0.0,0.0,856,0,856,580,23952.0,AL,4050055,146.865,23357
7,1990,1,11,6481.0,954.0,39,7,2,0,43,3,0,0,10,2,33,3,30,0,13,5,0,0,0.0,0.0,48,0,48,10,954.0,AL,4050055,146.865,23357
8,1990,1,13,9464.225882492181,3059.0,77,32,5,0,98,6,8,0,40,5,57,12,40,3,59,12,0,0,0.0,0.0,114,0,114,40,3059.0,AL,4050055,146.865,23357
9,1990,1,15,93873.1637692453,87324.0,1517,386,343,0,1627,353,205,7,1480,118,344,304,157,55,1769,265,0,0,0.0,0.0,2246,0,2246,1480,87324.0,AL,4050055,146.865,23357
