,year,state_code,applicant_income,loan_amount,conventional_loans,FHA_loans,VA_loans,FSA_RHS_loans,purchase,improvement,refinancing,multifamily,loans_originated,loans_approved_not_originated,loans_denied,other_loans,race_black,race_other,race_white,race_msrpd,subprime,subprime_originated,subprime_amount,subprime_amount_originated,total,elapsed_time,prime,prime_originated,prime_amount,state,population,sthpi,mh_income
0,1990,1,3952106.27738847,3388468.73791494,43446,17195,4580,3,45307,11708,6189,180,40373,2342,10696,11820,7010,986,47608,9627,6,3,862.0,270.0,65231,0,65225,40370,3387606.73791494,AL,4050055,146.865,23357
1,1990,13,8928619.01278789,8824295.56319156,64267,33669,8799,11,75198,13357,15437,438,60848,1360,12273,32322,12583,3145,64573,26502,221,55,19775.0,5467.0,106803,0,106582,60793,8804520.56319156,GA,6512602,160.07999999999998,27561
2,1990,27,9553899.24420982,6927407.73791494,52711,32611,4416,41,59880,22210,11977,416,60647,1555,8323,27826,1151,2561,71175,23464,17,3,1415.0,135.0,98351,0,98334,60644,6925992.73791494,MN,4389857,139.6175,31465
3,1990,37,9060084.88266847,7136549.10774548,77906,25612,6608,16,69798,12457,14523,490,75424,2329,13062,19336,10944,3106,78605,17496,75,11,5850.0,1503.0,110151,0,110076,75413,7130699.10774548,NC,6664016,161.965,26329
4,1990,45,3366073.37857326,3446711.91263831,37157,13560,4574,1,36747,7694,5299,146,34082,1028,7238,12950,5218,1283,39454,9343,26,10,3642.0,1742.0,55298,0,55272,34072,3443069.91263831,SC,3501155,160.9825,28735
5,1990,51,11524801.8276257,14807649.9126383,96681,31863,17937,4,96314,25290,21047,725,85933,1169,13227,46222,10219,7815,86067,42450,1214,377,68465.0,9094.0,1465510,0,1464296,85556,14739184.9126383,VA,6216884,188.33749999999998,35073
6,1991,1,3491051.97985671,3921760.0,48363,14672,7326,2,42585,12999,14636,142,44294,1538,10499,14032,7142,1095,51093,11033,318,87,12214.0,4334.0,70363,1,70045,44207,3909546.0,AL,4099156,151.53,24346
7,1991,13,7190713.30261245,10312281.0,78203,33223,10139,28,75155,13278,32984,176,71826,2275,13751,33741,14820,4677,77562,24534,1090,619,87144.0,55246.0,121593,1,120503,71207,10225137.0,GA,6653005,161.685,27212
8,1991,27,7884922.42486795,8574851.0,77345,33522,5013,12,58388,21530,35849,125,74810,1831,10389,28862,1150,2736,87762,24244,225,98,11774.0,5486.0,115892,1,115667,74712,8563077.0,MN,4440859,143.59249999999997,29479
9,1991,37,6678151.48764837,8866243.0,103021,17799,7823,62,79743,13754,35042,166,82662,5167,20824,20052,13755,3498,97826,13626,183,123,19826.0,14515.0,128705,1,128522,82539,8846417.0,NC,6784280,165.375,26853
10,1991,45,3318514.73026292,3981587.0,49222,8740,4663,17,39671,8430,14451,90,37537,2286,10397,12422,6685,1143,45592,9222,68,52,8208.0,6920.0,62642,1,62574,37485,3973379.0,SC,3570404,165.45999999999998,27463
11,1991,51,10898411.740186,17188965.0,110410,30221,21695,18,96459,18664,47095,125,96383,2217,15403,48341,12424,9006,101688,39226,635,229,66341.0,24288.0,162344,1,161709,96154,17122624.0,VA,6301217,188.37499999999997,36137
12,1992,1,6341891.79077333,7305221.44774766,95207,15204,8754,26,58667,13492,46928,108,76013,3402,17936,21844,11223,2098,88853,17021,2754,718,63718.0,19613.0,119195,2,116441,75295,7241503.44774766,AL,4154014,157.5975,25808
13,1992,13,13683407.1788697,19143495.0,156055,40594,17353,74,98494,14485,100934,163,126087,3771,20633,63585,18509,7515,136068,51984,7368,5642,730130.0,584615.0,214076,2,206708,120445,18413365.0,GA,6817203,165.885,28797
14,1992,27,12536602.1697441,17002787.0,150483,45512,8498,151,73287,23591,107609,157,131484,2406,13910,56844,1580,4462,152796,45806,51,20,5147.0,2021.0,204644,2,204593,131464,16997640.0,MN,4495572,148.37,30981
15,1992,37,11371974.7395133,15069813.0,172789,22079,13964,156,102250,12371,94158,209,138953,7145,26030,36860,19603,5520,159199,24666,2637,653,118072.0,38594.0,208988,2,206351,138300,14951741.0,NC,6897214,170.1875,27771
