DATE,SCSTHPI
1975-01-01,75.02
1975-04-01,70.07
1975-07-01,72.1
1975-10-01,69.48
1976-01-01,70.37
1976-04-01,77.47
1976-07-01,76.41
1976-10-01,75.73
1977-01-01,75.36
1977-04-01,79.29
1977-07-01,81.24
1977-10-01,82.65
1978-01-01,82.11
1978-04-01,86.7
1978-07-01,88.28
1978-10-01,89.75
1979-01-01,93.7
1979-04-01,95.81
1979-07-01,97.52
1979-10-01,100.13
1980-01-01,100.00
1980-04-01,103.63
1980-07-01,109.24
1980-10-01,105.59
1981-01-01,112.26
1981-04-01,115.24
1981-07-01,117.69
1981-10-01,115.53
1982-01-01,118.98
1982-04-01,118.19
1982-07-01,120.35
1982-10-01,120.49
1983-01-01,123.43
1983-04-01,120.98
1983-07-01,124.03
1983-10-01,120.43
1984-01-01,126.83
1984-04-01,125.69
1984-07-01,123.04
1984-10-01,127.37
1985-01-01,130.73
1985-04-01,130.94
1985-07-01,131.84
1985-10-01,132.1
1986-01-01,135.34
1986-04-01,136.37
1986-07-01,138.2
1986-10-01,140.34
1987-01-01,143.09
1987-04-01,144.5
1987-07-01,144.59
1987-10-01,145.23
1988-01-01,147.69
1988-04-01,149.87
1988-07-01,151.01
1988-10-01,151.48
1989-01-01,153.93
1989-04-01,154.03
1989-07-01,157.54
1989-10-01,157.89
1990-01-01,159.53
1990-04-01,160.88
1990-07-01,162.18
1990-10-01,161.34
1991-01-01,163.18
1991-04-01,164.72
1991-07-01,165.64
1991-10-01,168.3
1992-01-01,169.14
1992-04-01,169.43
1992-07-01,171.95
1992-10-01,172.64
1993-01-01,172.86
1993-04-01,174.52
1993-07-01,176.62
1993-10-01,177.34
1994-01-01,178.31
1994-04-01,179.63
1994-07-01,180.29
1994-10-01,180.94
1995-01-01,182.45
1995-04-01,184.65
1995-07-01,187.04
1995-10-01,189.31
1996-01-01,192.03
1996-04-01,192.97
1996-07-01,194.3
1996-10-01,197.23
1997-01-01,198.51
1997-04-01,200.77
1997-07-01,204.22
1997-10-01,206.99
1998-01-01,210.06
1998-04-01,212.36
1998-07-01,215.4
1998-10-01,218.31
1999-01-01,221.35
1999-04-01,224.39
1999-07-01,226.64
1999-10-01,228.56
2000-01-01,230.89
2000-04-01,233.79
2000-07-01,236.6
2000-10-01,239.77
2001-01-01,246.03
2001-04-01,248.84
2001-07-01,250.73
2001-10-01,253.59
2002-01-01,255.09
2002-04-01,256.53
2002-07-01,260.53
2002-10-01,262.8
2003-01-01,264.31
2003-04-01,266.9
2003-07-01,268.46
2003-10-01,271.03
2004-01-01,274.16
2004-04-01,276.44
2004-07-01,281.83
2004-10-01,286.9
2005-01-01,291.98
2005-04-01,297.1
2005-07-01,304.51
2005-10-01,311.16
2006-01-01,315.61
2006-04-01,320.67
2006-07-01,325.46
2006-10-01,333.72
2007-01-01,335.9
2007-04-01,338.1
2007-07-01,337.84
2007-10-01,342.35
2008-01-01,344.7
2008-04-01,342.78
2008-07-01,336.54
2008-10-01,337.53
2009-01-01,341.68
2009-04-01,337.33
2009-07-01,327.05
2009-10-01,323.49
2010-01-01,319.23
2010-04-01,314.35
2010-07-01,318.52
2010-10-01,316.02
2011-01-01,307.65
2011-04-01,300.2
2011-07-01,302.81
2011-10-01,305.85
2012-01-01,300.88
2012-04-01,299.42
2012-07-01,301.88
2012-10-01,302.02
2013-01-01,301.67
2013-04-01,302.7
2013-07-01,303.11
2013-10-01,302.48
2014-01-01,303.67
2014-04-01,308.97
2014-07-01,312.74
2014-10-01,314.9
2015-01-01,320.49
2015-04-01,324.62
2015-07-01,327.83
2015-10-01,331.34
2016-01-01,335.58
2016-04-01,340.95
2016-07-01,348.62
2016-10-01,349.71
2017-01-01,353.3
2017-04-01,360.5
2017-07-01,368.28
2017-10-01,371.6
2018-01-01,379.59
2018-04-01,384.77
2018-07-01,391.66
2018-10-01,394.65
2019-01-01,400.36
2019-04-01,408.95
2019-07-01,413.13
2019-10-01,418.82
2020-01-01,424.4
