IDD,CODE,ID,MH,NAME
10000014740,1,0000014740,1,FIRST NATIONAL BANK OF AMERICA
10000024095,1,0000024095,1,"MBNA AMERICA (DELAWARE), N.A. "
152-2113031,1,52-2113031,1,HOMEOWNERS LOAN CORPORATION   
20000860473,2,0000860473,1,"CITIFINANCIAL, INC.           "
20000902270,2,0000902270,1,"CITIFINANCIAL SERVICES,  INC. "
20001426027,2,0001426027,1,"WELLS FARGO FIN'L ARIZONA, INC"
20001843606,2,0001843606,1,"WELLS FARGO FIN'L TEXAS, INC  "
20001843624,2,0001843624,1,"WELLS FARGO FIN'L UTAH, INC   "
20001844265,2,0001844265,1,"WELLS FARGO FIN'L WYOMING, INC"
20001844283,2,0001844283,1,WELLS FARGO FIN'L NEW JERSEY  
20001844331,2,0001844331,1,"WELLS FARGO FIN'L NEBRASKA,INC"
20001844340,2,0001844340,1,WELLS FARGO FINL WEST VIRGINIA
20001844359,2,0001844359,1,WELLS FARGO FINL WISCONSIN INC
20001844818,2,0001844818,1,WELLS FARGO FIN'L TENNESSEE   
20001844827,2,0001844827,1,"WELLS FARGO FIN'L OKLAHOMA,INC"
20001844836,2,0001844836,1,"WELLS FARGO FIN'L MONTANA, INC"
20001844845,2,0001844845,1,WELLS FARGO FIN'L NORTH DAKOTA
20001844920,2,0001844920,1,WELLS FARGO FIN'L MINNESOTA   
20001844939,2,0001844939,1,"WELLS FARGO FIN'L MARYLAND,INC"
20001844948,2,0001844948,1,WELLS FARGO FIN'L LOUISIANA   
20001844957,2,0001844957,1,WELLS FARGO FIN'L KENTUCKY INC
20001844966,2,0001844966,1,"WELLS FARGO FIN'L KANSAS, INC "
20001844975,2,0001844975,1,"WELLS FARGO FIN'L INDIANA, INC"
20001844984,2,0001844984,1,WELLS FARGO FIN'L MISSOURI INC
20001844993,2,0001844993,1,WELLS FARGO FIN'L COLORADO INC
20001845002,2,0001845002,1,"WELLS FARGO FIN'L ALASKA, INC "
20001845011,2,0001845011,1,WELLS FARGO FIN'L SOUTH DAKOTA
20001845020,2,0001845020,1,WELLS FARGO FIN'L ILLINOIS INC
20001845039,2,0001845039,1,"WELLS FARGO FIN'L GEORGIA, INC"
20001847163,2,0001847163,1,WELLS FARGO FIN'L SO CAROLINA 
20001847275,2,0001847275,1,WELLS FARGO FIN'L CALIFORNIA  
20001847305,2,0001847305,1,"WELLS FARGO FIN'L ALABAMA, INC"
20001847323,2,0001847323,1,"WELLS FARGO FIN'L IDAHO, INC  "
20001847332,2,0001847332,1,"WELLS FARGO FIN'L HAWAII, INC "
20001847369,2,0001847369,1,"WELLS FARGO FIN'L OREGON, INC "
20001847378,2,0001847378,1,WELLS FARGO FIN'L PENNSYLVANIA
20001868177,2,0001868177,1,WELLS FARGO FIN'L CRED SERV NY
20001942602,2,0001942602,1,"EQUITY ONE, INC.              "
20001950308,2,0001950308,1,"POPULAR FINANCE, INC.         "
20002039488,2,0002039488,1,"WELLS FARGO FIN'L AMERICA, INC"
20002040381,2,0002040381,1,"WELLS FARGO FIN'L IOWA 3, INC "
20002040402,2,0002040402,1,"WELLS FARGO FIN'L MAINE, INC  "
20002040961,2,0002040961,1,"WELLS FARGO FIN'L NEVADA 2,INC"
20002040989,2,0002040989,1,WELLS FARGO FIN'L NEW MEXICO  
20002041007,2,0002041007,1,WELLS FARGO FIN'L NO CAROLINA 
20002041034,2,0002041034,1,"WELLS FARGO FIN'L OHIO 1, INC "
20002041098,2,0002041098,1,WELLS FARGO FIN'L WASHINGTON 1
20002041418,2,0002041418,1,WELLS FARGO FINL MASSACHUSETTS
20002134936,2,0002134936,1,WELLS FARGO FIN'L SYS FLORIDA 
20002135401,2,0002135401,1,WELLS FARGO FIN'L SYS VIRGINIA
20002750242,2,0002750242,1,"CITIFINANCIAL SERVICES, INC.  "
20002750532,2,0002750532,1,"CITIFINANCIAL, INC.           "
20002751762,2,0002751762,1,"CITIFINANCIAL, INC.           "
20002751801,2,0002751801,1,"CITIFINANCIAL SERVICES, INC.  "
20002751810,2,0002751810,1,"CITIFINANCIAL SERVICES, INC.  "
20002751847,2,0002751847,1,"CITIFINANCIAL SERVICES, INC.  "
20002751922,2,0002751922,1,"CITIFINANCIAL SERVICES, INC.  "
20002751968,2,0002751968,1,"CITIFINANCIAL, INC.           "
20002751986,2,0002751986,1,"CITIFINANCIAL, INC.           "
20002751995,2,0002751995,1,CITIFINANCIAL EQUITY SERVICES 
20002752013,2,0002752013,1,"CITIFINANCIAL SERVICES, INC.  "
20002752022,2,0002752022,1,"CITIFINANCIAL, INC.           "
20002752077,2,0002752077,1,"CITIFINANCIAL SERVICES, INC.  "
20002752321,2,0002752321,1,CITIFINANCIAL COMPANY(DE)     
20002752527,2,0002752527,1,EQUIFIRST CORPORATION         
20002752684,2,0002752684,1,CITIFINANCIAL CORPORATION     
20002817118,2,0002817118,1,"CITIFINANCIAL, INC.           "
20002861595,2,0002861595,1,"CITIFINANCIAL SERVICES,  INC. "
20002977601,2,0002977601,1,ASSOCIATES INT'L HOLDING CORP 
20003073694,2,0003073694,1,"CITIFINANCIAL MTG CO, LLC     "
20003103489,2,0003103489,1,"CITIFINANCIAL MTG CO (FL, LLC)"
20003106181,2,0003106181,1,CITIFINANCIAL            CORPO
20003144576,2,0003144576,1,WELLS FARGO FIN'L MISSISSIPPI 
20003197871,2,0003197871,1,"HSBC MORTGAGE SERVICES, INC.  "
30000025653,3,0000025653,1,FREMONT INVESTMENT & LOAN     
30000026799,3,0000026799,1,EVABANK                       
338-3589255,3,38-3589255,1,"NPB MORTGAGE, LLC             "
358-2257419,3,58-2257419,1,LENDMARK FINANCIAL SERVICES   
40000002630,4,0000002630,1,M&I BANK FSB                  
40000008183,4,0000008183,1,EASTERN SAVINGS BANK          
40000008266,4,0000008266,1,UNITED MIDWEST SAVINGS BANK   
40000012504,4,0000012504,1,OCEAN BANK FSB                
40000014470,4,0000014470,1,"CITICORP TRUST BANK, FSB      "
40000014939,4,0000014939,1,AIG FEDERAL SAVINGS BANK      
40061104540,4,0061104540,1,"CITIFINANCIAL MTG CO, INC     "
40640713034,4,0640713034,1,CORINTHIAN MORTGAGE CORP      
70041198897,7,0041198897,1,"MARIBELLA MORTGAGE, LLC.      "
702-0560839,7,02-0560839,1,FIRST CONTINENTAL MORTGAGE    
70351887380,7,0351887380,1,HOMELAND MORTGAGE COMPANY     
704-3697858,7,04-3697858,1,"CORESTAR FINANCIAL GROUP, LLC "
70458600405,7,0458600405,1,WMC MORTGAGE CORP.            
705-0402708,7,05-0402708,1,ADVANCED FINANCIAL SERVICES IN
705-0527593,7,05-0527593,1,"NATIONSFIRST LENDING, INC     "
705-0560686,7,05-0560686,1,SUNSET DIRECT LENDING         
70510312284,7,0510312284,1,"MOREQUITY, INC. (NV)          "
70542046140,7,0542046140,1,"CALUSA INVESTMENTS, L.L.C.    "
71003800004,7,1003800004,1,LONG BEACH MORTGAGE CO.       
71012300001,7,1012300001,1,HOME LOAN MORTGAGE CORPORATION
71059700002,7,1059700002,1,FIRST CONSOLIDATED MORTGAGE   
71061700007,7,1061700007,1,TOWN & COUNTRY CREDIT CORP    
711-2815564,7,11-2815564,1,EHOMECREDIT CORP              
71118100001,7,1118100001,1,MORTGAGE LENDERS NETWORK USA  
71194900009,7,1194900009,1,HAMILTON MORTGAGE COMPANY     
71206600009,7,1206600009,1,ALLIED MORTGAGE & FINANCIAL CO
71207500004,7,1207500004,1,COURTESY MORTGAGE COMPANY     
71250200008,7,1250200008,1,"MONEYONE, INC                 "
71259600009,7,1259600009,1,SOUTHSTAR FUNDING             
71281200009,7,1281200009,1,First State Mortgage Corporati
71283400003,7,1283400003,1,ACT LENDING CORPORATION       
713-2607259,7,13-2607259,1,THE CIT GROUP/CONSUMER FINANCE
713-2868346,7,13-2868346,1,AMERICAN GENERAL HOME EQU.(DE)
71345300006,7,1345300006,1,THE MORTGAGE OUTLET           
71345700002,7,1345700002,1,BRIDGE CAPITAL CORPORATION    
71349000009,7,1349000009,1,"STEWARD FINANCIAL, INC        "
71390800005,7,1390800005,1,"THE MORTGAGE OUTLET, INC.     "
71394900006,7,1394900006,1,SECURED FUNDING               
71422400005,7,1422400005,1,MERITLENDING.COM              
71512400000,7,1512400000,1,"NOVASTAR MORTGAGE, INC.       "
71534900004,7,1534900004,1,FIRST NLC FINANCIAL SERVICES  
71549600001,7,1549600001,1,CONCORDE ACCEPTANCE CORPORATIO
71557900001,7,1557900001,1,PEOPLE'S CHOICE FINANCIAL CORP
71596200005,7,1596200005,1,"GMFS, LLC                     "
71596800005,7,1596800005,1,FIRST CHOICE FUNDING          
71611300007,7,1611300007,1,"EQUITY RESOURCES, INC.        "
71665100001,7,1665100001,1,PINNACLE DIRECT FUNDING CORPOR
71707500002,7,1707500002,1,"NOVASTAR HOME MORTGAGE, INC.  "
71718800007,7,1718800007,1,UNIMORTGAGE LLC               
71736300009,7,1736300009,1,JLM DIRECT FUNDING LTD        
71750100005,7,1750100005,1,Walter Mortgage Company       
71770800008,7,1770800008,1,PEMM.TEK MORTGAGE SERVICES    
71775300005,7,1775300005,1,AMERICAN HOME EQUITY          
71795300001,7,1795300001,1,SPRINT FUNDING CORPORATION    
71809900002,7,1809900002,1,HARBOURTON MORTGAGE INVESTMENT
71830200003,7,1830200003,1,OAK STREET MORTGAGE           
71843200000,7,1843200000,1,"BERGIN FINANCIAL, INC.        "
71851400008,7,1851400008,1,"SEBRING CAPITAL PARTNERS, L.P."
71857500007,7,1857500007,1,ENCORE CREDIT CORP            
71864800009,7,1864800009,1,"FICORE FUNDING, INC.          "
71891200009,7,1891200009,1,"WILMINGTON FINANCE, INC.      "
71917700009,7,1917700009,1,ARGENT MORTGAGE COMPANY LLC   
71958100003,7,1958100003,1,AEGIS LENDING CORPORATION     
71958200004,7,1958200004,1,AEGIS FUNDING CORPORATION     
71991500005,7,1991500005,1,RESMAE MORTGAGE CORPORATION   
71999200003,7,1999200003,1,"ACOUSTIC HOME LOANS, LLC      "
72033000009,7,2033000009,1,"AMC MORTGAGE SERVICES, INC.   "
72033300001,7,2033300001,1,"FIRST STREET FINANCIAL, INC.  "
72064900008,7,2064900008,1,LENDERS DIRECT CAPITAL CORP   
72130700003,7,2130700003,1,SPECTRUM FUNDING CORPORATION  
722-3191019,7,22-3191019,1,THE CIT GROUP/CONSUMER FINANCE
722-3397885,7,22-3397885,1,AMERICAP FINANCIAL INC        
722-3740390,7,22-3740390,1,LANCASTER MORTGAGE BANKERS    
722-3887207,7,22-3887207,1,"New Day Financial, LLC        "
723-2425397,7,23-2425397,1,AMERICAN GENERAL FIN.SERV.(DE)
723-3051009,7,23-3051009,1,"OPUS HOME EQUITY SERVICES, INC"
727-0011311,7,27-0011311,1,PREMIUM CAPITAL FUNDING       
730-0237185,7,30-0237185,1,"ADVANTIX LENDING, INC.        "
731-1480758,7,31-1480758,1,"SELECT MORTGAGE GROUP, LTD.   "
733-0668958,7,33-0668958,1,"THE LENDING CONNECTION, INC   "
733-0806023,7,33-0806023,1,FLEXPOINT FUNDING CORPORATION 
733-0967630,7,33-0967630,1,"EVERGREEN LENDING, INC.       "
741-1810165,7,41-1810165,1,LENDSOURCE INC                
756-2270727,7,56-2270727,1,AMERITRUST MORTGAGE COMPANY LL
758-2509828,7,58-2509828,1,CHOICE CAPITAL FUNDING        
762-1717999,7,62-1717999,1,THE CIT GROUP/CONSUMER FINANCE
76480209999,7,6480209999,1,"MASTER FINANCIAL, INC.        "
77042100008,7,7042100008,1,DOLLAR MORTGAGE CORPORATION   
77062300004,7,7062300004,1,BUDGET FINANCE COMPANY        
77069000008,7,7069000008,1,DELTA FUNDING CORPORATION     
77083400004,7,7083400004,1,ALLIANCE MORTGAGE BANKING CORP
77086400004,7,7086400004,1,"AMERICAN BENEFIT MORTGAGE, INC"
77152500000,7,7152500000,1,PLATINUM CAPITAL GROUP        
77177900003,7,7177900003,1,"RIGHT AWAY MORTGAGE, INC      "
77185300006,7,7185300006,1,"ACCREDITED HOME LENDERS, INC  "
772-0506617,7,72-0506617,1,"UNITED-BILT HOMES, INC.       "
77323800008,7,7323800008,1,EXPRESS CAPITAL LENDING       
77343000001,7,7343000001,1,IMPAC FUNDING CORP            
77373400006,7,7373400006,1,"LIME FINANCIAL SERVICES, LTD. "
77431100008,7,7431100008,1,"OWNIT MORTGAGE SOLUTIONS, INC "
77439600003,7,7439600003,1,"CASA BLANCA MORTGAGE, INC     "
77479800008,7,7479800008,1,CHAPEL MORTGAGE               
775-1794257,7,75-1794257,1,OAK STREET MORTGAGE/GW        
775-2921540,7,75-2921540,1,CENTEX HOME EQUITY COMPANY LLC
775-2958981,7,75-2958981,1,KELLNER MORTGAGE INVESTMENTS  
77542800002,7,7542800002,1,"MLSG, INC.                    "
77604800006,7,7604800006,1,OPTION ONE MORTGAGE CORP      
77619100004,7,7619100004,1,MONEY CORP (FN)               
77624900003,7,7624900003,1,AMERICAN PIONEER FINANCIAL SVC
77642300001,7,7642300001,1,LIBERTY AMERICAN MORTGAGE CORP
77652800004,7,7652800004,1,"NATION ONE MORTGAGE CO., INC. "
77673400003,7,7673400003,1,INVESTAID CORPORATION         
777-0463885,7,77-0463885,1,ALTERNATIVE FINANCING CORP    
