DATE,ALNPTL
1984-01-01,1.96
1984-04-01,1.89
1984-07-01,1.80
1984-10-01,1.61
1985-01-01,1.55
1985-04-01,1.42
1985-07-01,1.39
1985-10-01,1.33
1986-01-01,1.40
1986-04-01,1.39
1986-07-01,1.28
1986-10-01,1.14
1987-01-01,1.27
1987-04-01,1.22
1987-07-01,1.30
1987-10-01,1.19
1988-01-01,1.29
1988-04-01,1.13
1988-07-01,1.11
1988-10-01,1.01
1989-01-01,1.01
1989-04-01,1.17
1989-07-01,1.31
1989-10-01,1.19
1990-01-01,1.26
1990-04-01,1.34
1990-07-01,1.36
1990-10-01,1.33
1991-01-01,1.39
1991-04-01,1.45
1991-07-01,1.48
1991-10-01,1.21
1992-01-01,1.19
1992-04-01,1.02
1992-07-01,0.91
1992-10-01,0.94
1993-01-01,0.87
1993-04-01,0.84
1993-07-01,0.73
1993-10-01,0.67
1994-01-01,0.71
1994-04-01,0.66
1994-07-01,0.67
1994-10-01,0.55
1995-01-01,0.56
1995-04-01,0.56
1995-07-01,0.55
1995-10-01,0.62
1996-01-01,0.64
1996-04-01,0.62
1996-07-01,0.64
1996-10-01,0.60
1997-01-01,0.62
1997-04-01,0.70
1997-07-01,0.70
1997-10-01,0.73
1998-01-01,0.79
1998-04-01,0.78
1998-07-01,0.78
1998-10-01,0.74
1999-01-01,0.80
1999-04-01,0.76
1999-07-01,0.74
1999-10-01,0.75
2000-01-01,0.77
2000-04-01,0.76
2000-07-01,0.79
2000-10-01,0.82
2001-01-01,0.90
2001-04-01,0.96
2001-07-01,0.93
2001-10-01,0.94
2002-01-01,0.93
2002-04-01,0.88
2002-07-01,0.85
2002-10-01,0.83
2003-01-01,0.85
2003-04-01,0.81
2003-07-01,0.79
2003-10-01,0.73
2004-01-01,0.67
2004-04-01,0.61
2004-07-01,0.55
2004-10-01,0.53
2005-01-01,0.52
2005-04-01,0.55
2005-07-01,0.59
2005-10-01,0.61
2006-01-01,0.57
2006-04-01,0.50
2006-07-01,0.51
2006-10-01,0.51
2007-01-01,0.56
2007-04-01,0.72
2007-07-01,0.86
2007-10-01,1.17
2008-01-01,1.55
2008-04-01,1.92
2008-07-01,2.22
2008-10-01,2.48
2009-01-01,3.36
2009-04-01,4.26
2009-07-01,4.51
2009-10-01,4.98
2010-01-01,5.43
2010-04-01,5.09
2010-07-01,5.06
2010-10-01,4.73
2011-01-01,4.77
2011-04-01,4.49
2011-07-01,4.18
2011-10-01,3.94
2012-01-01,3.61
2012-04-01,3.26
2012-07-01,3.06
2012-10-01,2.71
2013-01-01,2.50
2013-04-01,2.22
2013-07-01,1.96
2013-10-01,1.66
2014-01-01,1.53
2014-04-01,1.32
2014-07-01,1.28
2014-10-01,1.20
2015-01-01,1.16
2015-04-01,1.10
2015-07-01,1.10
2015-10-01,1.12
2016-01-01,1.50
2016-04-01,1.60
2016-07-01,1.67
2016-10-01,1.50
2017-01-01,1.44
2017-04-01,1.24
2017-07-01,1.14
2017-10-01,1.07
2018-01-01,1.01
2018-04-01,0.96
2018-07-01,0.90
2018-10-01,0.96
2019-01-01,1.01
2019-04-01,0.99
2019-07-01,0.92
2019-10-01,0.92
