,year,state,race,sex,age,population
20400,1989,AK,1,1,1,70499
20401,1989,AK,1,1,2,64005
20402,1989,AK,1,1,3,59043
20403,1989,AK,1,1,4,22411
20404,1989,AK,1,1,5,7597
20405,1989,AK,1,2,1,64638
20406,1989,AK,1,2,2,55532
20407,1989,AK,1,2,3,48939
20408,1989,AK,1,2,4,18167
20409,1989,AK,1,2,5,8323
20410,1989,AK,2,1,1,27535
20411,1989,AK,2,1,2,18746
20412,1989,AK,2,1,3,11359
20413,1989,AK,2,1,4,4973
20414,1989,AK,2,1,5,2380
20415,1989,AK,2,2,1,26239
20416,1989,AK,2,2,2,17509
20417,1989,AK,2,2,3,11132
20418,1989,AK,2,2,4,5296
20419,1989,AK,2,2,5,2847
20420,1989,AL,1,1,1,415039
20421,1989,AL,1,1,2,355961
20422,1989,AL,1,1,3,302390
20423,1989,AL,1,1,4,212771
20424,1989,AL,1,1,5,159517
20425,1989,AL,1,2,1,392604
20426,1989,AL,1,2,2,350184
20427,1989,AL,1,2,3,307154
20428,1989,AL,1,2,4,233787
20429,1989,AL,1,2,5,245675
20430,1989,AL,2,1,1,201205
20431,1989,AL,2,1,2,117971
20432,1989,AL,2,1,3,79928
20433,1989,AL,2,1,4,45851
20434,1989,AL,2,1,5,41654
20435,1989,AL,2,2,1,199166
20436,1989,AL,2,2,2,140717
20437,1989,AL,2,2,3,97340
20438,1989,AL,2,2,4,63548
20439,1989,AL,2,2,5,67777
20440,1989,AR,1,1,1,277207
20441,1989,AR,1,1,2,216917
20442,1989,AR,1,1,3,190321
20443,1989,AR,1,1,4,136121
20444,1989,AR,1,1,5,124319
20445,1989,AR,1,2,1,261199
20446,1989,AR,1,2,2,216781
20447,1989,AR,1,2,3,195754
20448,1989,AR,1,2,4,149754
20449,1989,AR,1,2,5,178339
20450,1989,AR,2,1,1,81216
20451,1989,AR,2,1,2,42973
20452,1989,AR,2,1,3,28532
20453,1989,AR,2,1,4,15975
20454,1989,AR,2,1,5,17328
20455,1989,AR,2,2,1,79531
20456,1989,AR,2,2,2,51699
20457,1989,AR,2,2,3,34244
20458,1989,AR,2,2,4,21652
20459,1989,AR,2,2,5,26513
20460,1989,AZ,1,1,1,477013
20461,1989,AZ,1,1,2,415207
20462,1989,AZ,1,1,3,316590
20463,1989,AZ,1,1,4,200508
20464,1989,AZ,1,1,5,191995
20465,1989,AZ,1,2,1,453280
20466,1989,AZ,1,2,2,397531
20467,1989,AZ,1,2,3,318245
20468,1989,AZ,1,2,4,221020
20469,1989,AZ,1,2,5,252002
20470,1989,AZ,2,1,1,80445
20471,1989,AZ,2,1,2,54240
20472,1989,AZ,2,1,3,30558
20473,1989,AZ,2,1,4,14592
20474,1989,AZ,2,1,5,8447
20475,1989,AZ,2,2,1,77923
20476,1989,AZ,2,2,2,52018
20477,1989,AZ,2,2,3,32640
20478,1989,AZ,2,2,4,17214
